timestamp,retrieved,channel,kind,detail,clock_ok
,2023-10-18,in,restart_marker,line 3,0
,2023-10-18,in,restart_marker,line 5,0
,2023-10-18,in,restart_marker,line 7,0
,2023-10-18,in,restart_marker,line 6,0
,2023-10-18,in,restart_marker,line 8,0
,2023-10-18,in,restart_marker,line 9,0
,2023-10-18,in,restart_marker,line 11,0
,2023-10-18,in,restart_marker,line 10,0
,2023-10-18,in,restart_marker,line 4,0
,2023-10-18,out,restart_marker,line 41,0
,2023-10-18,out,restart_marker,line 12,0
,2023-10-18,out,restart_marker,line 34,0
,2023-10-18,out,restart_marker,line 55,0
,2023-10-18,out,restart_marker,line 36,0
,2023-10-18,out,restart_marker,line 23,0
,2023-10-18,out,restart_marker,line 60,0
,2023-10-18,out,restart_marker,line 45,0
,2023-10-18,out,restart_marker,line 1,0
,2023-10-18,out,restart_marker,line 43,0
,2023-10-18,out,restart_marker,line 57,0
,2023-10-28,err,restart_marker,line 668,0
,2023-10-28,err,restart_marker,line 94,0
,2023-10-28,err,restart_marker,line 207,0
,2023-10-28,err,restart_marker,line 1,0
,2023-10-28,err,restart_marker,line 486,0
,2023-10-28,err,restart_marker,line 294,0
,2023-10-28,err,restart_marker,line 208,0
,2023-10-28,err,restart_marker,line 665,0
,2023-10-28,err,restart_marker,line 206,0
,2023-10-28,err,restart_marker,line 666,0
,2023-10-28,err,restart_marker,line 667,0
,2023-10-28,err,restart_marker,line 211,0
,2023-10-28,err,restart_marker,line 585,0
,2023-10-28,err,restart_marker,line 213,0
,2023-10-28,in,restart_marker,line 2,0
,2023-10-28,in,restart_marker,line 13,0
,2023-10-28,in,restart_marker,line 14,0
,2023-10-28,in,restart_marker,line 1,0
,2023-10-28,in,restart_marker,line 3,0
,2023-10-28,in,restart_marker,line 10,0
,2023-10-28,in,restart_marker,line 5,0
,2023-10-28,in,restart_marker,line 7,0
,2023-10-28,in,restart_marker,line 6,0
,2023-10-28,in,restart_marker,line 12,0
,2023-10-28,in,restart_marker,line 8,0
,2023-10-28,in,restart_marker,line 11,0
,2023-10-28,in,restart_marker,line 9,0
,2023-10-28,in,restart_marker,line 4,0
,2023-10-28,out,restart_marker,line 59,0
,2023-10-28,out,restart_marker,line 25,0
,2023-10-28,out,restart_marker,line 83,0
,2023-10-28,out,restart_marker,line 23,0
,2023-10-28,out,restart_marker,line 85,0
,2023-10-28,out,restart_marker,line 12,0
,2023-10-28,out,restart_marker,line 27,0
,2023-10-28,out,restart_marker,line 87,0
,2023-10-28,out,restart_marker,line 38,0
,2023-10-28,out,restart_marker,line 81,0
,2023-10-28,out,restart_marker,line 1,0
,2023-10-28,out,restart_marker,line 36,0
,2023-10-28,out,restart_marker,line 48,0
,2023-10-28,out,restart_marker,line 70,0
,2023-10-28,tandh1,restart_marker,line 9630,0
,2023-10-28,tandh1,restart_marker,line 9632,0
,2023-10-28,tandh1,restart_marker,line 9631,0
,2023-10-28,tandh1,restart_marker,line 9633,0
,2023-11-21,err,restart_marker,line 191,0
,2023-11-21,err,restart_marker,line 1,0
,2023-11-21,err,restart_marker,line 490,0
,2023-11-21,err,restart_marker,line 661,0
,2023-11-21,err,restart_marker,line 664,0
,2023-11-21,err,restart_marker,line 589,0
,2023-11-21,err,restart_marker,line 670,0
,2023-11-21,err,restart_marker,line 671,0
,2023-11-21,err,restart_marker,line 667,0
,2023-11-21,err,restart_marker,line 291,0
,2023-11-21,in,restart_marker,line 4,0
,2023-11-21,in,restart_marker,line 2,0
,2023-11-21,in,restart_marker,line 1,0
,2023-11-21,in,restart_marker,line 8,0
,2023-11-21,in,restart_marker,line 3,0
,2023-11-21,in,restart_marker,line 5,0
,2023-11-21,in,restart_marker,line 6,0
,2023-11-21,in,restart_marker,line 7,0
,2023-11-21,in,restart_marker,line 9,0
,2023-11-21,in,restart_marker,line 10,0
,2023-11-21,out,restart_marker,line 56,0
,2023-11-21,out,restart_marker,line 85,0
,2023-11-21,out,restart_marker,line 34,0
,2023-11-21,out,restart_marker,line 12,0
,2023-11-21,out,restart_marker,line 83,0
,2023-11-21,out,restart_marker,line 23,0
,2023-11-21,out,restart_marker,line 74,0
,2023-11-21,out,restart_marker,line 45,0
,2023-11-21,out,restart_marker,line 1,0
,2023-11-21,out,restart_marker,line 65,0
,2023-11-21,tandh1,restart_marker,line 9718,0
,2023-11-21,tandh1,restart_marker,line 9719,0
,2023-11-21,tandh1,restart_marker,line 9716,0
,2023-11-21,tandh1,restart_marker,line 9717,0
,2023-11-21,tandh1,restart_marker,line 9720,0
,2023-11-29,err,restart_marker,line 661,0
,2023-11-29,err,restart_marker,line 662,0
,2023-11-29,err,restart_marker,line 1,0
,2023-11-29,err,restart_marker,line 658,0
,2023-11-29,err,restart_marker,line 106,0
,2023-11-29,err,restart_marker,line 659,0
,2023-11-29,err,restart_marker,line 304,0
,2023-11-29,err,restart_marker,line 593,0
,2023-11-29,err,restart_marker,line 660,0
,2023-11-29,err,restart_marker,line 2,0
,2023-11-29,err,restart_marker,line 485,0
,2023-11-29,in,restart_marker,line 6,0
,2023-11-29,in,restart_marker,line 1,0
,2023-11-29,in,restart_marker,line 3,0
,2023-11-29,in,restart_marker,line 8,0
,2023-11-29,in,restart_marker,line 5,0
,2023-11-29,in,restart_marker,line 7,0
,2023-11-29,in,restart_marker,line 4,0
,2023-11-29,in,restart_marker,line 11,0
,2023-11-29,in,restart_marker,line 2,0
,2023-11-29,in,restart_marker,line 9,0
,2023-11-29,in,restart_marker,line 10,0
,2023-11-29,out,restart_marker,line 81,0
,2023-11-29,out,restart_marker,line 32,0
,2023-11-29,out,restart_marker,line 77,0
,2023-11-29,out,restart_marker,line 54,0
,2023-11-29,out,restart_marker,line 1,0
,2023-11-29,out,restart_marker,line 21,0
,2023-11-29,out,restart_marker,line 10,0
,2023-11-29,out,restart_marker,line 43,0
,2023-11-29,out,restart_marker,line 65,0
,2023-11-29,out,restart_marker,line 79,0
,2023-11-29,out,restart_marker,line 67,0
,2023-11-29,tandh1,restart_marker,line 9668,0
,2023-11-29,tandh1,restart_marker,line 9671,0
,2023-11-29,tandh1,restart_marker,line 9673,0
,2023-11-29,tandh1,restart_marker,line 9672,0
,2023-11-29,tandh1,restart_marker,line 9667,0
,2023-11-30,err,restart_marker,line 105,0
,2023-11-30,err,restart_marker,line 1,0
,2023-11-30,in,restart_marker,line 2,0
,2023-11-30,in,restart_marker,line 1,0
,2023-11-30,out,restart_marker,line 12,0
,2023-11-30,out,restart_marker,line 1,0
,2023-11-30,tandh1,restart_marker,line 1523,0
,2024-02-12,err,restart_marker,line 1923,0
,2024-02-12,err,restart_marker,line 2341,0
,2024-02-12,err,restart_marker,line 1913,0
,2024-02-12,err,restart_marker,line 1963,0
,2024-02-12,err,restart_marker,line 2040,0
,2024-02-12,err,restart_marker,line 2296,0
,2024-02-12,err,restart_marker,line 1553,0
,2024-02-12,err,restart_marker,line 2147,0
,2024-02-12,err,restart_marker,line 1994,0
,2024-02-12,err,restart_marker,line 2702,0
,2024-02-12,err,restart_marker,line 1,0
,2024-02-12,err,restart_marker,line 2230,0
,2024-02-12,err,restart_marker,line 2191,0
,2024-02-12,err,restart_marker,line 1813,0
,2024-02-12,in,restart_marker,line 4,0
,2024-02-12,in,restart_marker,line 2,0
